SMILES,index,xyz,InChI,Exp.,DFT,SchNet
C,gdb_1,1.xyz,InChI=1S/CH4/h1H4,-17.9,-21.78383659,-21.32425308
N,gdb_2,2.xyz,InChI=1S/H3N/h1H3,-10.97,-11.6637441,-1.120114803
O,gdb_3,3.xyz,InChI=1S/H2O/h1H2,-57.8,-52.25827335,-48.69719696
C#C,gdb_4,4.xyz,InChI=1S/C2H2/c1-2/h1-2H,54.19,56.87494168,57.66831589
C#N,gdb_5,5.xyz,InChI=1S/CHN/c1-2/h1H,31.5,31.30018407,33.58829498
C=O,gdb_6,6.xyz,InChI=1S/CH2O/c1-2/h1H2,-25.96,-28.53856418,-29.30438805
CC,gdb_7,7.xyz,InChI=1S/C2H6/c1-2/h1-2H3,-20.08,-25.59022725,-25.88981628
CO,gdb_8,8.xyz,"InChI=1S/CH4O/c1-2/h2H,1H3",-48,-49.3761022,-48.37030792
CC#C,gdb_9,9.xyz,"InChI=1S/C3H4/c1-3-2/h1H,2H3",44.2,43.39040476,43.55555725
CC#N,gdb_10,10.xyz,InChI=1S/C2H3N/c1-2-3/h1H3,18,14.57270808,14.94530869
CC=O,gdb_11,11.xyz,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",-39.7,-43.88666505,-43.32633972
CCC,gdb_13,13.xyz,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",-25,-31.06312826,-30.99108124
CCO,gdb_14,14.xyz,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",-56.21,-58.19328412,-57.80474854
COC,gdb_15,15.xyz,InChI=1S/C2H6O/c1-3-2/h1-2H3,-44,-50.43500282,-50.15039444
C1CC1,gdb_16,16.xyz,InChI=1S/C3H6/c1-2-3-1/h1-3H2,12.7,9.496658954,9.921905518
C1CO1,gdb_17,17.xyz,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,-12.57,-16.0626983,-16.13028717
CC(=O)C,gdb_18,18.xyz,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,-51.93,-56.87575295,-56.79898453
CC(=O)N,gdb_19,19.xyz,"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)",-57,-61.86685567,-62.0770607
CC(C)C,gdb_21,21.xyz,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",-32.07,-37.42558547,-37.43558502
CC(C)O,gdb_22,22.xyz,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",-65.2,-67.47776455,-67.36949921
N#CC#N,gdb_25,25.xyz,InChI=1S/C2N2/c3-1-2-4,73.3,69.57659371,65.7901001
O=CC=O,gdb_28,28.xyz,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,-50.7,-54.49238278,-53.60528946
CC#CC,gdb_29,29.xyz,InChI=1S/C4H6/c1-3-4-2/h1-2H3,34.8,31.40910521,31.80973244
CCC#C,gdb_30,30.xyz,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",39.5,38.24404969,38.37005997
CCC#N,gdb_31,31.xyz,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",12.25541746,9.325011174,9.497353554
COC=O,gdb_37,37.xyz,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",-85,-87.47968207,-87.61839294
CCCC,gdb_39,39.xyz,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",-30,-36.52476906,-36.56308746
CCCO,gdb_40,40.xyz,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-61.16395794,-63.55921318,-63.42977905
CCOC,gdb_41,41.xyz,"InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3",-51.7,-59.22403422,-59.37281799
C1CCC1,gdb_47,47.xyz,InChI=1S/C4H8/c1-2-4-3-1/h1-4H2,6.8,2.362877693,2.365041733
[nH]1cccc1,gdb_50,50.xyz,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,25.9,22.0716505,21.90907097
o1cccc1,gdb_52,52.xyz,InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H,-8.3,-11.46836027,-11.56000805
o1ccnc1,gdb_53,53.xyz,InChI=1S/C3H3NO/c1-2-5-3-4-1/h1-3H,-3.7,-9.64703893,-9.637600899
